,city,country,latitude,longitude,temp_max,humidity,cloudiness,windspeed,Hotel Name
39,Honiara,SB,-9.43,159.95,77.0,94,20,2.24,Coral Sea Resort & Casino
52,Sorong,ID,-0.88,131.25,77.56,89,100,4.41,Swiss-Belhotel Sorong
135,Kloulklubed,PW,7.04,134.26,77.0,94,75,5.95,The Adventures Inn-Peleliu
143,Suso,PH,17.36,120.46,79.09,83,91,3.53,Sorrento Hotel And Resort
170,Caravelas,BR,-17.71,-39.25,77.56,84,88,5.03,Mar Doce de Abrolhos
172,Bengkulu,ID,-3.8,102.27,79.25,84,92,5.53,Mercure Bengkulu
283,Martapura,ID,-3.42,114.85,78.8,100,90,2.24,Grand Dafam Q Hotel Banjarbaru || DHM Syariah
312,Meulaboh,ID,4.14,96.13,79.88,82,100,1.97,"Khalifa homestay ""Rumoh Jamee"""
326,Bintulu,MY,3.17,113.03,77.0,94,40,2.24,Fairfield By Marriott Bintulu Paragon
342,Madang,PG,-5.22,145.8,78.6,87,100,5.1,Madang Resort
343,Buala,SB,-8.14,159.59,81.41,80,82,6.62,Ghaseali Island Resort
391,Auki,SB,-8.77,160.7,77.9,83,47,3.76,Auki Lodge
396,Acapulco de Juárez,MX,16.86,-99.89,78.8,83,75,2.24,Hotel Las Brisas Acapulco
427,Ixtapa,MX,20.7,-105.2,80.89,94,75,3.36,"The Westin Resort & Spa, Puerto Vallarta"
449,Suclayin,PH,15.76,121.55,77.68,87,98,1.45,Hotel Lady Nina
457,Ranau,MY,5.95,116.66,82.27,83,40,0.58,Inap Desa Kilimu
490,Kendari,ID,-3.94,122.5,78.33,85,31,4.0,Swiss-Belhotel Kendari
503,Pontianak,ID,-0.03,109.33,78.46,90,90,4.59,HARRIS Hotel Pontianak
533,Pedernales,DO,18.04,-71.74,77.0,94,20,5.82,Hotel Vista de las Águilas
535,Bambanglipuro,ID,-7.95,110.28,77.74,82,37,5.03,Paddy D'sawah Guest house
551,Cartagena,CO,10.4,-75.51,82.4,94,72,4.7,ANANDA BOUTIQUE HOTEL
