,City,Country,Latitude,Longitude,Temperature-Max-Farenheit,Humidity-Percentage,Cloudiness-Percentage,Wind-Speed
0,Cangzhou,CN,38.32,116.87,56.44,32,0,3.22
1,Huarmey,PE,-10.07,-78.15,63.19,82,64,5.57
2,Ushuaia,AR,-54.8,-68.3,41.0,80,40,4.09
3,Chokurdakh,RU,70.63,147.92,31.95,99,100,10.51
4,Kavieng,PG,-2.57,150.8,82.33,77,99,12.68
5,Tasiilaq,GL,65.61,-37.64,37.4,93,75,3.36
6,Atasū,KZ,48.68,71.64,58.21,33,0,4.21
7,Dikson,RU,73.51,80.55,29.07,93,76,8.32
8,Vila,PT,42.03,-8.16,61.0,52,29,5.01
9,Port,CD,-7.03,29.76,85.37,37,4,4.45
10,Sao,IN,20.51,76.21,80.04,77,78,5.86
11,Ruteng,ID,-8.61,120.47,64.54,97,83,1.52
12,Mabaruma,GY,8.2,-59.78,82.87,77,33,4.0
13,Castro,BR,-24.79,-50.01,61.9,74,72,9.46
14,Torbay,CA,47.67,-52.73,51.91,100,90,5.82
15,Bluff,NZ,-46.6,168.33,44.01,80,50,6.91
16,Thompson,CA,55.74,-97.86,24.8,85,75,13.87
17,Atuona,PF,-9.8,-139.03,78.1,79,4,20.18
18,Tuktoyaktuk,CA,69.45,-133.04,21.56,96,100,19.24
19,Rikitea,PF,-23.12,-134.97,73.44,79,100,16.53
20,Gouré,NE,13.98,10.27,100.0,27,55,4.0
21,Buraidah,SA,26.33,43.98,93.2,16,0,8.05
22,Taltal,CL,-25.4,-70.48,62.31,61,33,5.17
23,Naze,JP,28.37,129.48,77.0,78,75,5.82
24,Tilichiki,RU,60.47,166.1,32.14,93,79,8.03
25,Nanortalik,GL,60.14,-45.24,41.72,75,98,12.41
26,Cape,CL,-36.41,-71.9,48.2,100,0,3.36
27,Skjervøy,NO,70.03,20.97,39.2,93,75,11.41
28,Nanga,IN,27.54,88.62,70.14,57,62,0.98
29,Marsa,MT,35.88,14.5,72.88,46,25,13.87
30,Hilo,US,19.73,-155.09,71.17,73,75,4.7
31,Panjāb,AF,34.39,67.02,56.46,22,0,8.72
32,Vaini,TO,-21.2,-175.2,75.2,94,90,6.93
